# prefix,country_code,region_code,city,postal
99.212.0.32/27,CA,CA-ON,Wolfedale,
2607:F798:0180::/48,CA,CA-ON,Wolfedale,
99.212.0.0/27,CA,CA-ON,Bloor,
2607:F798:0180::/48,CA,CA-ON,Bloor,
99.212.32.0/27,CA,CA-BC,Vancouver,
2607:f798:0182::/48,CA,CA-BC,Vancouver,
209.148.132.112/28,CA,CA-NB,Moncton,
2607:f798:0161:0100::/64,CA,CA-NB,Moncton,
99.212.16.64/27,CA,CA-ON,Ottawa,
2607:f798:181:1000::/64,CA,CA-ON,Ottawa,
99.212.32.64/27,CA,CA-AB,Edmonton,
2607:f798:182:1000::/64,CA,CA-AB,Edmonton,
99.212.16.0/27,CA,CA-ON,Toronto,
2607:f798:0181::/48,CA,CA-ON,Toronto,
